hex,type,flight,r,t,desc,ownOp,year,alt_baro,alt_geom,gs,track,baro_rate,squawk,emergency,category,nav_qnh,nav_altitude_mcp,nav_heading,lat,lon,nic,rc,seen_pos,version,nic_baro,nac_p,nac_v,sil,sil_type,gva,sda,alert,spi,mlat,tisb,messages,seen,rssi,dst,dir,nav_modes,geom_rate,true_heading,calc_track,time,dbFlags
acb1e5,adsb_icao,AAL1837 ,N917NN,B738,BOEING 737-800,BANK OF UTAH TRUSTEE,2013.0,32050,31425.0,433.3,271.98,-1088.0,2302.0,none,A3,1013.6,15008.0,263.67,40.095768,-110.179263,8,186,0.409,2.0,1.0,9.0,1.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],108533079,0.2,-27.1,239.87,276.8,,,,,1742360434.001,
a70c67,adsb_icao,AAL2986 ,N553UW,A321,AIRBUS A-321,UMB BANK NA TRUSTEE,2011.0,36000,35675.0,426.1,235.23,64.0,6505.0,none,A3,1013.6,36000.0,,37.715469,-109.100433,8,186,9.677,2.0,1.0,9.0,1.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],98979485,9.4,-29.9,227.611,239.0,,,,,1742360434.001,
a6e720,adsb_icao,DAL685  ,N544DN,A21N,AIRBUS A-321neo,DELTA AIR LINES INC,2023.0,38025,37775.0,430.1,251.99,0.0,6223.0,none,A3,1012.8,38016.0,,38.592133,-108.851584,8,186,0.012,2.0,1.0,10.0,1.0,3.0,perhour,2.0,3.0,0.0,0.0,[],[],172093580,0.0,-22.5,192.468,250.3,,,,,1742360434.001,
abb1c2,adsb_icao,SWA3255 ,N8524Z,B738,BOEING 737-800,SOUTHWEST AIRLINES CO,2017.0,38000,37675.0,415.7,253.22,0.0,6544.0,none,A3,1013.6,38016.0,246.09,38.658417,-108.521934,8,186,0.283,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],133718214,0.0,-19.7,176.654,249.6,,,,,1742360434.001,
a45210,adsb_icao,FFT2142 ,N378FR,A20N,AIRBUS A-320neo,BANK OF UTAH TRUSTEE,2021.0,33025,32675.0,481.4,42.14,-64.0,731.0,none,A3,1012.8,32992.0,,37.344543,-108.007176,8,186,0.171,2.0,1.0,10.0,2.0,3.0,perhour,2.0,3.0,0.0,0.0,[],[],137519082,0.2,-19.2,201.826,225.5,,,,,1742360434.001,
aa72f5,adsb_icao,SWA4297 ,N7721E,B737,BOEING 737-700,SOUTHWEST AIRLINES CO,2006.0,38000,37600.0,420.2,249.67,-64.0,3272.0,none,A3,1013.6,38016.0,241.88,38.92605,-107.890808,8,186,0.283,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],122514132,0.0,-21.1,143.275,251.0,,,,,1742360434.001,
ac0c41,adsb_icao,SWA3762 ,N8757L,B38M,BOEING 737 MAX 8,SOUTHWEST AIRLINES CO,2022.0,33000,32625.0,477.1,42.45,-128.0,2611.0,none,A3,1013.6,32992.0,23.91,37.471386,-107.869442,8,186,0.397,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],114611984,0.2,-16.4,191.803,225.7,,,,,1742360434.001,
a24082,adsb_icao,SKW3729 ,N244SY,E75L,EMBRAER ERJ-170-200 (long wing),SKYWEST AIRLINES INC,2016.0,29000,28575.0,491.5,162.23,-64.0,6004.0,none,A3,1013.6,9024.0,,36.268011,-107.643225,8,186,41.673,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],109725841,14.6,-19.7,243.256,211.9,"['autopilot', 'vnav', 'tcas']",,,,1742360434.001,
a1b573,adsb_icao,SWA3422 ,N209WN,B737,BOEING 737-700,SOUTHWEST AIRLINES CO,2005.0,40000,39800.0,413.0,255.56,-64.0,5620.0,none,A3,1013.6,40000.0,260.86,38.149155,-107.466976,8,186,0.494,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],134004452,0.3,-20.8,149.965,231.2,,,,,1742360434.001,
a1c4d8,adsb_icao,MXY607  ,N213BZ,BCS3,,BANK OF UTAH TRUSTEE,2022.0,36000,35450.0,415.2,281.39,,1522.0,none,A3,1012.8,36000.0,270.7,39.984924,-107.382202,8,186,0.012,2.0,1.0,10.0,1.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],163341512,0.0,-25.7,111.217,278.4,,0.0,,,1742360434.001,
